boundary,index,ey_num_of_building,ey_mean_building_sqm,changeos_ratio_of_building,changeos_damaged_building_vs_all_building
"POLYGON ((802010.5000016 2032657.46911, 802010.5000016 2032813.71911, 802166.7500016 2032813.71911, 802166.7500016 2032657.46911, 802010.5000016 2032657.46911))",1690,14.0,196.34812832899107,0.12532424926757812,0.17127811767570694
"POLYGON ((807323.0000016 2035938.71911, 807323.0000016 2036094.96911, 807479.2500016 2036094.96911, 807479.2500016 2035938.71911, 807323.0000016 2035938.71911))",6585,17.0,395.22925744410503,0.19713211059570312,0.0
"POLYGON ((799979.2500016 2038594.96911, 799979.2500016 2038751.21911, 800135.5000016 2038751.21911, 800135.5000016 2038594.96911, 799979.2500016 2038594.96911))",1868,40.0,186.79876300486075,0.3595619201660156,0.0
"POLYGON ((804198.0000016 2032657.46911, 804198.0000016 2032813.71911, 804354.2500016 2032813.71911, 804354.2500016 2032657.46911, 804198.0000016 2032657.46911))",744,15.0,269.1703668182338,0.2762336730957031,0.0
"POLYGON ((807166.7500016 2034219.96911, 807166.7500016 2034376.21911, 807323.0000016 2034376.21911, 807323.0000016 2034219.96911, 807166.7500016 2034219.96911))",6992,20.0,328.65247076244026,0.21128082275390625,0.0
"POLYGON ((801854.2500016 2040938.71911, 801854.2500016 2041094.96911, 802010.5000016 2041094.96911, 802010.5000016 2040938.71911, 801854.2500016 2040938.71911))",4886,25.0,159.06054116767484,0.43776702880859375,0.09345753672946548
"POLYGON ((801698.0000016 2040626.21911, 801698.0000016 2040782.46911, 801854.2500016 2040782.46911, 801854.2500016 2040626.21911, 801698.0000016 2040626.21911))",9029,47.0,203.3596124097633,0.4080390930175781,0.0
"POLYGON ((799666.7500016 2038438.71911, 799666.7500016 2038594.96911, 799823.0000016 2038594.96911, 799823.0000016 2038438.71911, 799666.7500016 2038438.71911))",5282,32.0,210.58321132401437,0.3669471740722656,0.0
"POLYGON ((797479.2500016 2041563.71911, 797479.2500016 2041719.96911, 797635.5000016 2041719.96911, 797635.5000016 2041563.71911, 797479.2500016 2041563.71911))",425,29.0,188.7026242651399,0.2906150817871094,0.0
"POLYGON ((800916.7500016 2038282.46911, 800916.7500016 2038438.71911, 801073.0000016 2038438.71911, 801073.0000016 2038282.46911, 800916.7500016 2038282.46911))",1549,12.0,467.066855968616,0.25070953369140625,0.0
"POLYGON ((798416.7500016 2038438.71911, 798416.7500016 2038594.96911, 798573.0000016 2038594.96911, 798573.0000016 2038438.71911, 798416.7500016 2038438.71911))",6749,48.0,170.57772897832433,0.41532135009765625,0.0
"POLYGON ((800448.0000016 2034532.46911, 800448.0000016 2034688.71911, 800604.2500016 2034688.71911, 800604.2500016 2034532.46911, 800448.0000016 2034532.46911))",7238,50.0,195.38162701435016,0.484771728515625,0.0
"POLYGON ((807010.5000016 2028907.46911, 807010.5000016 2029063.71911, 807166.7500016 2029063.71911, 807166.7500016 2028907.46911, 807010.5000016 2028907.46911))",2586,6.0,367.4203890530568,0.12166213989257812,0.0
"POLYGON ((805291.7500016 2033907.46911, 805291.7500016 2034063.71911, 805448.0000016 2034063.71911, 805448.0000016 2033907.46911, 805291.7500016 2033907.46911))",3969,6.0,1466.9648320791712,0.24468612670898438,0.8627285908049203
"POLYGON ((798416.7500016 2032969.96911, 798416.7500016 2033126.21911, 798573.0000016 2033126.21911, 798573.0000016 2032969.96911, 798416.7500016 2032969.96911))",7999,20.0,249.65392507262703,0.264190673828125,0.0
"POLYGON ((806229.2500016 2030782.46911, 806229.2500016 2030938.71911, 806385.5000016 2030938.71911, 806385.5000016 2030782.46911, 806229.2500016 2030782.46911))",6365,10.0,185.02173332389813,0.11745452880859375,0.04361805781097759
"POLYGON ((805760.5000016 2035469.96911, 805760.5000016 2035626.21911, 805916.7500016 2035626.21911, 805916.7500016 2035469.96911, 805760.5000016 2035469.96911))",6844,5.0,2405.746863544526,0.11420059204101562,0.0
"POLYGON ((796854.2500016 2040782.46911, 796854.2500016 2040938.71911, 797010.5000016 2040938.71911, 797010.5000016 2040782.46911, 796854.2500016 2040782.46911))",9858,23.0,172.06073961615402,0.2732505798339844,0.0
"POLYGON ((800760.5000016 2039844.96911, 800760.5000016 2040001.21911, 800916.7500016 2040001.21911, 800916.7500016 2039844.96911, 800760.5000016 2039844.96911))",1463,4.0,7244.54604961555,0.3801307678222656,0.0002809862617788437
"POLYGON ((799510.5000016 2034063.71911, 799510.5000016 2034219.96911, 799666.7500016 2034219.96911, 799666.7500016 2034063.71911, 799510.5000016 2034063.71911))",1126,44.0,214.19408321076563,0.3759269714355469,0.0
"POLYGON ((796854.2500016 2032032.46911, 796854.2500016 2032188.71911, 797010.5000016 2032188.71911, 797010.5000016 2032032.46911, 796854.2500016 2032032.46911))",2927,8.0,214.424920537498,0.10600662231445312,0.0
"POLYGON ((804510.5000016 2041407.46911, 804510.5000016 2041563.71911, 804666.7500016 2041563.71911, 804666.7500016 2041407.46911, 804510.5000016 2041407.46911))",2200,23.0,229.80007679720376,0.32532501220703125,0.09151989868905513
"POLYGON ((802479.2500016 2028438.71911, 802479.2500016 2028594.96911, 802635.5000016 2028594.96911, 802635.5000016 2028438.71911, 802479.2500016 2028438.71911))",6101,33.0,158.9319603121561,0.3592681884765625,0.2897855170949246
"POLYGON ((799823.0000016 2034532.46911, 799823.0000016 2034688.71911, 799979.2500016 2034688.71911, 799979.2500016 2034532.46911, 799823.0000016 2034532.46911))",6816,34.0,196.73572913646353,0.3918724060058594,0.0
"POLYGON ((801385.5000016 2040938.71911, 801385.5000016 2041094.96911, 801541.7500016 2041094.96911, 801541.7500016 2040938.71911, 801385.5000016 2040938.71911))",4852,6.0,163.74293295471986,0.1089324951171875,0.0
"POLYGON ((800291.7500016 2029688.71911, 800291.7500016 2029844.96911, 800448.0000016 2029844.96911, 800448.0000016 2029688.71911, 800291.7500016 2029688.71911))",10380,10.0,202.37927005078137,0.11845016479492188,0.0
"POLYGON ((797010.5000016 2035313.71911, 797010.5000016 2035469.96911, 797166.7500016 2035469.96911, 797166.7500016 2035313.71911, 797010.5000016 2035313.71911))",7927,41.0,198.9407180489761,0.30443572998046875,0.008194872565972483
"POLYGON ((801385.5000016 2035782.46911, 801385.5000016 2035938.71911, 801541.7500016 2035938.71911, 801541.7500016 2035782.46911, 801385.5000016 2035782.46911))",8153,50.0,211.438617062268,0.4826698303222656,0.0
"POLYGON ((806385.5000016 2030469.96911, 806385.5000016 2030626.21911, 806541.7500016 2030626.21911, 806541.7500016 2030469.96911, 806385.5000016 2030469.96911))",5278,6.0,213.19448182231994,0.11421966552734375,0.16956115155968204
"POLYGON ((805916.7500016 2036563.71911, 805916.7500016 2036719.96911, 806073.0000016 2036719.96911, 806073.0000016 2036563.71911, 805916.7500016 2036563.71911))",8753,31.0,219.57704441072843,0.2685089111328125,0.10395237824629198
"POLYGON ((802479.2500016 2030938.71911, 802479.2500016 2031094.96911, 802635.5000016 2031094.96911, 802635.5000016 2030938.71911, 802479.2500016 2030938.71911))",2341,24.0,222.55894744440596,0.14554214477539062,0.0
"POLYGON ((797635.5000016 2034532.46911, 797635.5000016 2034688.71911, 797791.7500016 2034688.71911, 797791.7500016 2034532.46911, 797635.5000016 2034532.46911))",5480,21.0,239.06286334053294,0.180419921875,0.0
"POLYGON ((799823.0000016 2036251.21911, 799823.0000016 2036407.46911, 799979.2500016 2036407.46911, 799979.2500016 2036251.21911, 799823.0000016 2036251.21911))",695,17.0,353.9926940458364,0.12292861938476562,0.0
"POLYGON ((805760.5000016 2036563.71911, 805760.5000016 2036719.96911, 805916.7500016 2036719.96911, 805916.7500016 2036563.71911, 805760.5000016 2036563.71911))",3985,34.0,242.36536094256905,0.4239463806152344,0.7847212849237414
"POLYGON ((799979.2500016 2032501.21911, 799979.2500016 2032657.46911, 800135.5000016 2032657.46911, 800135.5000016 2032501.21911, 799979.2500016 2032501.21911))",7672,43.0,212.08797890588463,0.33966064453125,0.0
"POLYGON ((801698.0000016 2039063.71911, 801698.0000016 2039219.96911, 801854.2500016 2039219.96911, 801854.2500016 2039063.71911, 801698.0000016 2039063.71911))",6301,2.0,16403.986148665746,0.23543548583984375,0.0
"POLYGON ((797323.0000016 2042344.96911, 797323.0000016 2042501.21911, 797479.2500016 2042501.21911, 797479.2500016 2042344.96911, 797323.0000016 2042344.96911))",8410,47.0,180.4835511871299,0.3423309326171875,0.0
"POLYGON ((799041.7500016 2035469.96911, 799041.7500016 2035626.21911, 799198.0000016 2035626.21911, 799198.0000016 2035469.96911, 799041.7500016 2035469.96911))",638,51.0,202.08534616020486,0.3974418640136719,0.0
"POLYGON ((801698.0000016 2036094.96911, 801698.0000016 2036251.21911, 801854.2500016 2036251.21911, 801854.2500016 2036094.96911, 801698.0000016 2036094.96911))",2373,9.0,555.2634639051146,0.136016845703125,0.0
"POLYGON ((799823.0000016 2031719.96911, 799823.0000016 2031876.21911, 799979.2500016 2031876.21911, 799979.2500016 2031719.96911, 799823.0000016 2031719.96911))",3500,30.0,207.70750078934896,0.20683670043945312,0.09970306707733166
"POLYGON ((806698.0000016 2033438.71911, 806698.0000016 2033594.96911, 806854.2500016 2033594.96911, 806854.2500016 2033438.71911, 806698.0000016 2033438.71911))",8114,23.0,284.248728702757,0.29673004150390625,0.0
"POLYGON ((805760.5000016 2042813.71911, 805760.5000016 2042969.96911, 805916.7500016 2042969.96911, 805916.7500016 2042813.71911, 805760.5000016 2042813.71911))",7035,3.0,620.7822100049649,0.3123016357421875,0.005301216592563639
"POLYGON ((804510.5000016 2041251.21911, 804510.5000016 2041407.46911, 804666.7500016 2041407.46911, 804666.7500016 2041251.21911, 804510.5000016 2041251.21911))",19,28.0,145.54823597829005,0.34935760498046875,0.25361970692930924
"POLYGON ((800291.7500016 2035626.21911, 800291.7500016 2035782.46911, 800448.0000016 2035782.46911, 800448.0000016 2035626.21911, 800291.7500016 2035626.21911))",1278,38.0,222.1378385042945,0.4342498779296875,0.0
"POLYGON ((807479.2500016 2034219.96911, 807479.2500016 2034376.21911, 807635.5000016 2034376.21911, 807635.5000016 2034219.96911, 807479.2500016 2034219.96911))",7200,37.0,264.0940947081753,0.3927116394042969,0.0
"POLYGON ((799198.0000016 2037188.71911, 799198.0000016 2037344.96911, 799354.2500016 2037344.96911, 799354.2500016 2037188.71911, 799198.0000016 2037188.71911))",5645,38.0,236.2510646517284,0.37220001220703125,0.0
"POLYGON ((807635.5000016 2035313.71911, 807635.5000016 2035469.96911, 807791.7500016 2035469.96911, 807791.7500016 2035313.71911, 807635.5000016 2035313.71911))",7462,15.0,286.82334122722483,0.19149017333984375,0.25514960755408583
"POLYGON ((803416.7500016 2029376.21911, 803416.7500016 2029532.46911, 803573.0000016 2029532.46911, 803573.0000016 2029376.21911, 803416.7500016 2029376.21911))",10230,24.0,158.21714118313653,0.23638534545898438,0.12842319298981716
"POLYGON ((804198.0000016 2033282.46911, 804198.0000016 2033438.71911, 804354.2500016 2033438.71911, 804354.2500016 2033282.46911, 804198.0000016 2033282.46911))",6750,8.0,226.54330607547823,0.13782882690429688,0.0
"POLYGON ((799354.2500016 2036251.21911, 799354.2500016 2036407.46911, 799510.5000016 2036407.46911, 799510.5000016 2036251.21911, 799354.2500016 2036251.21911))",7666,14.0,298.8418929573491,0.23011016845703125,0.0
"POLYGON ((808104.2500016 2034688.71911, 808104.2500016 2034844.96911, 808260.5000016 2034844.96911, 808260.5000016 2034688.71911, 808104.2500016 2034688.71911))",10558,13.0,339.3520303543613,0.14667129516601562,0.0007802543629223127
"POLYGON ((806541.7500016 2024219.96911, 806541.7500016 2024376.21911, 806698.0000016 2024376.21911, 806698.0000016 2024219.96911, 806541.7500016 2024219.96911))",3436,7.0,165.8117572827551,0.12355422973632812,0.0
"POLYGON ((800916.7500016 2040001.21911, 800916.7500016 2040157.46911, 801073.0000016 2040157.46911, 801073.0000016 2040001.21911, 800916.7500016 2040001.21911))",955,7.0,3664.5742617067503,0.4143638610839844,0.0
"POLYGON ((804041.7500016 2041094.96911, 804041.7500016 2041251.21911, 804198.0000016 2041251.21911, 804198.0000016 2041094.96911, 804041.7500016 2041094.96911))",8038,41.0,171.8125329236552,0.4375152587890625,0.0
"POLYGON ((797323.0000016 2039376.21911, 797323.0000016 2039532.46911, 797479.2500016 2039532.46911, 797479.2500016 2039376.21911, 797323.0000016 2039376.21911))",6018,14.0,257.34516401288977,0.2578010559082031,0.050916677764460426
"POLYGON ((806385.5000016 2036251.21911, 806385.5000016 2036407.46911, 806541.7500016 2036407.46911, 806541.7500016 2036251.21911, 806385.5000016 2036251.21911))",8848,18.0,313.47900968233887,0.2744293212890625,0.0
"POLYGON ((806073.0000016 2033751.21911, 806073.0000016 2033907.46911, 806229.2500016 2033907.46911, 806229.2500016 2033751.21911, 806073.0000016 2033751.21911))",3266,46.0,231.54073986411385,0.283782958984375,0.7575411334552102
"POLYGON ((797635.5000016 2034688.71911, 797635.5000016 2034844.96911, 797791.7500016 2034844.96911, 797791.7500016 2034688.71911, 797635.5000016 2034688.71911))",3207,47.0,186.82787259362664,0.4992332458496094,0.0
"POLYGON ((798573.0000016 2038907.46911, 798573.0000016 2039063.71911, 798729.2500016 2039063.71911, 798729.2500016 2038907.46911, 798573.0000016 2038907.46911))",7547,19.0,175.6819044910805,0.27706146240234375,0.0
"POLYGON ((798104.2500016 2034219.96911, 798104.2500016 2034376.21911, 798260.5000016 2034376.21911, 798260.5000016 2034219.96911, 798104.2500016 2034219.96911))",9144,17.0,183.59153569122964,0.13681793212890625,0.0
"POLYGON ((800291.7500016 2032032.46911, 800291.7500016 2032188.71911, 800448.0000016 2032188.71911, 800448.0000016 2032032.46911, 800291.7500016 2032032.46911))",3549,18.0,274.053170348477,0.12087631225585938,0.0
"POLYGON ((804354.2500016 2039532.46911, 804354.2500016 2039688.71911, 804510.5000016 2039688.71911, 804510.5000016 2039532.46911, 804354.2500016 2039532.46911))",2289,2.0,7917.350628336548,0.47139739990234375,0.9492611714438313
"POLYGON ((798885.5000016 2039844.96911, 798885.5000016 2040001.21911, 799041.7500016 2040001.21911, 799041.7500016 2039844.96911, 798885.5000016 2039844.96911))",6736,41.0,170.55235291125825,0.3063240051269531,0.0
"POLYGON ((805448.0000016 2034376.21911, 805448.0000016 2034532.46911, 805604.2500016 2034532.46911, 805604.2500016 2034376.21911, 805448.0000016 2034376.21911))",10055,16.0,394.30838553580776,0.1277313232421875,0.0
"POLYGON ((807479.2500016 2043907.46911, 807479.2500016 2044063.71911, 807635.5000016 2044063.71911, 807635.5000016 2043907.46911, 807479.2500016 2043907.46911))",6394,9.0,821.2794445443295,0.16246414184570312,0.0
"POLYGON ((797479.2500016 2031563.71911, 797479.2500016 2031719.96911, 797635.5000016 2031719.96911, 797635.5000016 2031563.71911, 797479.2500016 2031563.71911))",8059,50.0,179.06963592258907,0.24222946166992188,0.0
"POLYGON ((805604.2500016 2038438.71911, 805604.2500016 2038594.96911, 805760.5000016 2038594.96911, 805760.5000016 2038438.71911, 805604.2500016 2038438.71911))",7443,5.0,1888.3243165636122,0.16423797607421875,0.0
"POLYGON ((803260.5000016 2037032.46911, 803260.5000016 2037188.71911, 803416.7500016 2037188.71911, 803416.7500016 2037032.46911, 803260.5000016 2037032.46911))",10652,10.0,320.1511932683339,0.10195159912109375,0.15142557808875254
"POLYGON ((805448.0000016 2028751.21911, 805448.0000016 2028907.46911, 805604.2500016 2028907.46911, 805604.2500016 2028751.21911, 805448.0000016 2028751.21911))",8376,23.0,180.07615407343997,0.20424652099609375,0.16351649172612154
"POLYGON ((803104.2500016 2036563.71911, 803104.2500016 2036719.96911, 803260.5000016 2036719.96911, 803260.5000016 2036563.71911, 803104.2500016 2036563.71911))",1669,14.0,566.7873081956493,0.2937278747558594,0.0
"POLYGON ((797479.2500016 2042969.96911, 797479.2500016 2043126.21911, 797635.5000016 2043126.21911, 797635.5000016 2042969.96911, 797479.2500016 2042969.96911))",852,21.0,178.05043371771959,0.22018051147460938,0.0
"POLYGON ((800291.7500016 2031251.21911, 800291.7500016 2031407.46911, 800448.0000016 2031407.46911, 800448.0000016 2031251.21911, 800291.7500016 2031251.21911))",3755,27.0,189.54765386774295,0.16721725463867188,0.0
"POLYGON ((797948.0000016 2033282.46911, 797948.0000016 2033438.71911, 798104.2500016 2033438.71911, 798104.2500016 2033282.46911, 797948.0000016 2033282.46911))",2771,25.0,218.00586849598915,0.11733627319335938,0.0
"POLYGON ((806229.2500016 2030001.21911, 806229.2500016 2030157.46911, 806385.5000016 2030157.46911, 806385.5000016 2030001.21911, 806229.2500016 2030001.21911))",8735,6.0,306.24409581891837,0.14622879028320312,0.0
"POLYGON ((805604.2500016 2034063.71911, 805604.2500016 2034219.96911, 805760.5000016 2034219.96911, 805760.5000016 2034063.71911, 805604.2500016 2034063.71911))",7785,41.0,204.98236677530932,0.24145889282226562,0.0
"POLYGON ((799198.0000016 2038594.96911, 799198.0000016 2038751.21911, 799354.2500016 2038751.21911, 799354.2500016 2038594.96911, 799198.0000016 2038594.96911))",510,39.0,241.05838004441625,0.4052085876464844,0.0
"POLYGON ((797166.7500016 2043126.21911, 797166.7500016 2043282.46911, 797323.0000016 2043282.46911, 797323.0000016 2043126.21911, 797166.7500016 2043126.21911))",1806,17.0,271.7548074920453,0.29245758056640625,0.0
"POLYGON ((805291.7500016 2035157.46911, 805291.7500016 2035313.71911, 805448.0000016 2035313.71911, 805448.0000016 2035157.46911, 805291.7500016 2035157.46911))",1578,9.0,299.3917593830031,0.1241302490234375,0.0
"POLYGON ((804666.7500016 2035938.71911, 804666.7500016 2036094.96911, 804823.0000016 2036094.96911, 804823.0000016 2035938.71911, 804666.7500016 2035938.71911))",10680,4.0,874.4824809551546,0.12819290161132812,0.0
